"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000244362.3",0,0,0,0,0,0
"ENSG00000244363.3",5,19,14,12,16,12
"ENSG00000244371.2",4,2,3,0,3,8
"ENSG00000244372.3",0,0,0,0,0,0
"ENSG00000244376.3",0,0,0,0,0,0
"ENSG00000244378.1",0,0,3,1,1,1
"ENSG00000244380.1",1,1,0,4,0,1
"ENSG00000244381.1",0,0,0,0,0,0
"ENSG00000244383.2",0,1,0,0,6,0
"ENSG00000244384.3",0,0,0,0,0,0
"ENSG00000244389.3",0,0,0,0,0,2
"ENSG00000244390.2",0,0,0,0,0,0
"ENSG00000244391.3",0,0,0,0,0,0
"ENSG00000244392.3",0,0,0,0,0,0
"ENSG00000244395.6",0,0,0,0,0,0
"ENSG00000244398.1",8787,8714,10403,10175,8266,7364
"ENSG00000244399.3",0,0,0,0,0,0
"ENSG00000244400.2",0,0,0,0,0,0
"ENSG00000244402.3",0,0,0,0,0,0
"ENSG00000244404.3",0,0,0,0,0,0
"ENSG00000244405.8",622,566,482,801,665,382
"ENSG00000244411.4",0,0,0,0,0,0
"ENSG00000244413.1",0,0,0,0,0,0
"ENSG00000244414.7",0,1,0,0,0,0
"ENSG00000244422.3",0,0,0,0,0,0
"ENSG00000244425.3",1,0,0,0,0,0
"ENSG00000244427.1",0,0,0,0,0,0
"ENSG00000244429.1",0,0,0,0,0,0
"ENSG00000244432.2",0,0,0,0,0,0
"ENSG00000244436.2",0,0,0,0,0,0
"ENSG00000244437.1",0,0,0,0,0,0
"ENSG00000244441.1",0,0,0,0,0,0
"ENSG00000244451.1",0,0,0,0,0,0
"ENSG00000244456.2",0,0,0,0,0,0
"ENSG00000244457.2",0,1,0,0,0,0
"ENSG00000244459.3",19,20,17,14,0,18
"ENSG00000244461.1",0,0,0,0,0,0
"ENSG00000244462.8",1967,2320,2553,1697,2196,2198
"ENSG00000244464.2",1,0,1,0,0,1
"ENSG00000244468.1",0,9,1,90,2,27
"ENSG00000244470.2",0,0,0,0,0,0
"ENSG00000244471.6",0,0,0,0,0,1
"ENSG00000244474.6",28,25,30,29,13,0
"ENSG00000244476.3",0,0,0,0,0,0
"ENSG00000244479.7",9,6,6,0,9,5
"ENSG00000244480.1",2,5,20,4,4,12
"ENSG00000244482.10",0,0,1,0,5,0
"ENSG00000244485.1",16,10,9,30,37,43
"ENSG00000244486.9",17,8,4,13,42,19
"ENSG00000244490.1",0,0,0,1,0,0
"ENSG00000244491.1",2,0,0,0,1,0
"ENSG00000244493.1",0,0,0,0,0,0
"ENSG00000244501.3",0,0,0,0,0,0
"ENSG00000244502.2",0,0,0,6,1,0
"ENSG00000244503.1",0,0,0,0,2,0
"ENSG00000244509.4",14,11,19,89,86,93
"ENSG00000244510.2",0,0,0,0,0,0
"ENSG00000244512.3",0,0,0,0,0,0
"ENSG00000244513.7",12,6,10,4,14,9
"ENSG00000244514.3",0,0,0,0,0,0
"ENSG00000244515.1",0,2,0,0,0,0
"ENSG00000244521.3",0,0,0,0,0,0
"ENSG00000244527.1",0,0,0,0,0,0
"ENSG00000244528.1",4,0,0,2,3,3
"ENSG00000244532.1",0,0,0,0,0,1
"ENSG00000244534.3",0,0,0,0,0,0
"ENSG00000244535.1",0,0,0,0,0,3
"ENSG00000244537.3",0,0,0,0,0,0
"ENSG00000244538.1",0,1,0,0,1,1
"ENSG00000244540.2",0,0,0,0,0,0
"ENSG00000244541.6",0,0,0,0,0,0
"ENSG00000244544.2",0,0,0,0,0,0
"ENSG00000244545.1",0,0,0,0,0,0
"ENSG00000244550.1",0,0,0,0,0,0
"ENSG00000244551.2",0,0,0,0,0,0
"ENSG00000244556.1",1,0,0,1,1,2
"ENSG00000244558.6",0,0,0,0,0,1
"ENSG00000244559.1",0,0,0,0,0,0
"ENSG00000244560.7",43,38,45,36,54,57
"ENSG00000244561.1",0,0,0,0,0,0
"ENSG00000244563.1",14,14,29,39,48,25
"ENSG00000244564.2",0,0,0,0,0,0
"ENSG00000244565.1",0,0,0,0,0,0
"ENSG00000244568.3",0,0,0,0,0,0
"ENSG00000244571.1",0,0,0,0,0,0
"ENSG00000244573.3",0,0,0,0,0,0
"ENSG00000244575.3",0,0,0,0,0,0
"ENSG00000244578.1",0,0,0,0,0,0
"ENSG00000244582.2",3,1,2,2,2,1
"ENSG00000244585.1",1,1,0,1,0,1
"ENSG00000244586.1",0,0,0,0,0,0
"ENSG00000244588.6",0,0,0,0,0,0
"ENSG00000244593.1",0,0,0,0,0,0
"ENSG00000244604.1",0,0,0,0,0,0
"ENSG00000244607.7",1,2,2,6,5,2
"ENSG00000244610.3",0,0,0,0,0,0
"ENSG00000244615.1",0,0,0,0,0,0
"ENSG00000244617.3",0,12,6,39,17,3
"ENSG00000244618.3",0,0,0,0,0,0
"ENSG00000244619.2",0,0,0,0,1,0
"ENSG00000244620.1",0,0,0,0,0,0
"ENSG00000244621.1",0,0,0,0,0,0
"ENSG00000244623.2",0,0,0,0,0,0
"ENSG00000244624.3",0,0,0,0,0,0
"ENSG00000244625.7",6,2,0,5,4,11
"ENSG00000244627.5",63,45,51,41,41,43
"ENSG00000244630.2",0,0,0,0,0,0
"ENSG00000244632.3",0,0,0,0,0,0
"ENSG00000244640.1",0,0,0,0,0,0
"ENSG00000244641.2",0,0,0,0,1,1
"ENSG00000244642.3",0,0,0,0,0,0
"ENSG00000244646.4",0,0,0,0,0,0
"ENSG00000244649.5",128,234,262,379,208,234
"ENSG00000244650.2",0,0,0,0,0,0
"ENSG00000244652.1",0,0,0,0,0,0
"ENSG00000244653.1",0,0,0,0,0,0
"ENSG00000244657.1",0,0,0,0,0,0
"ENSG00000244661.1",0,0,0,0,0,0
"ENSG00000244662.1",0,0,0,0,0,0
"ENSG00000244668.1",0,0,0,0,0,0
"ENSG00000244669.1",0,0,0,0,0,0
"ENSG00000244671.3",0,0,0,0,0,0
"ENSG00000244674.1",0,0,0,0,0,0
"ENSG00000244675.2",0,0,0,86,15,82
"ENSG00000244676.5",0,0,2,1,0,0
"ENSG00000244677.3",0,0,0,0,0,0
"ENSG00000244681.1",0,0,0,0,0,0
"ENSG00000244682.8",0,0,0,0,0,0
"ENSG00000244687.13",1386,1363,1583,2774,1783,1343
"ENSG00000244691.1",1,0,1,0,0,0
"ENSG00000244692.3",0,0,0,0,0,0
"ENSG00000244694.8",7,1,2,1,4,6
"ENSG00000244699.1",0,0,0,0,0,0
"ENSG00000244701.1",26,43,44,20,21,35
"ENSG00000244703.3",0,0,0,0,0,0
"ENSG00000244705.1",1,0,0,0,0,0
"ENSG00000244706.4",0,0,0,0,0,0
"ENSG00000244708.1",0,0,0,0,0,0
"ENSG00000244710.3",0,1,0,0,0,0
"ENSG00000244712.1",0,0,0,0,0,0
"ENSG00000244716.3",2,3,2,3,9,9
"ENSG00000244717.1",0,0,0,0,0,0
"ENSG00000244720.1",0,0,0,0,0,0
"ENSG00000244722.1",0,1,0,0,0,0
"ENSG00000244723.3",0,2,0,1,2,1
"ENSG00000244730.1",0,0,0,1,0,0
"ENSG00000244731.8",10,18,18,19,43,18
"ENSG00000244732.3",0,0,0,0,0,0
"ENSG00000244733.5",5,14,6,12,10,13
"ENSG00000244734.4",0,0,0,0,2,0
"ENSG00000244738.1",0,0,0,0,0,0
"ENSG00000244740.1",0,0,0,0,0,0
"ENSG00000244743.1",0,0,0,0,0,1
"ENSG00000244748.3",1,0,0,0,3,0
"ENSG00000244752.3",0,0,0,0,2,2
"ENSG00000244753.2",0,0,0,0,0,0
"ENSG00000244754.9",2279,2696,2610,1366,2308,2866
"ENSG00000244756.1",0,0,0,0,1,0
"ENSG00000244757.1",0,0,0,0,0,0
"ENSG00000244791.3",0,0,0,2,2,0
"ENSG00000244879.9",351,392,362,176,553,517
"ENSG00000244921.2",1,3,2,0,6,9
"ENSG00000244926.7",0,0,0,2,6,0
"ENSG00000244932.2",0,0,0,0,0,0
"ENSG00000244945.1",9,6,12,4,13,7
"ENSG00000244953.1",0,0,0,0,0,0
"ENSG00000244968.7",0,0,0,0,0,0
"ENSG00000244998.1",0,0,0,0,0,0
"ENSG00000245008.4",0,0,0,0,0,0
"ENSG00000245017.3",9,1,4,2,19,17
"ENSG00000245025.3",11,13,9,36,38,23
"ENSG00000245059.2",1,0,0,2,1,0
"ENSG00000245060.8",207,206,228,172,153,456
"ENSG00000245067.8",0,0,0,0,0,0
"ENSG00000245080.7",0,0,1,0,0,0
"ENSG00000245105.4",4,2,7,8,3,7
"ENSG00000245112.2",2,0,0,6,4,1
"ENSG00000245146.7",180,194,205,101,122,138
"ENSG00000245148.2",0,0,0,0,2,1
"ENSG00000245149.5",107,82,84,61,164,101
"ENSG00000245156.1",4,10,7,5,15,10
"ENSG00000245164.9",0,1,0,0,3,7
"ENSG00000245205.3",10,3,9,2,5,5
"ENSG00000245213.7",22,37,15,22,32,16
"ENSG00000245248.8",2,0,2,6,4,14
"ENSG00000245261.1",0,0,2,1,6,0
"ENSG00000245275.8",19,17,17,4,21,27
"ENSG00000245281.8",6,2,0,6,6,14
"ENSG00000245293.4",10,3,3,1,6,3
"ENSG00000245311.2",0,0,0,0,0,1
"ENSG00000245317.2",20,13,18,8,14,20
"ENSG00000245322.7",5,2,3,1,4,7
"ENSG00000245330.4",1,0,1,0,3,1
"ENSG00000245384.2",0,3,1,1,1,4
"ENSG00000245385.2",0,0,0,0,0,0
"ENSG00000245466.1",1,2,0,0,2,5
"ENSG00000245468.5",0,0,3,0,3,1
"ENSG00000245479.3",0,0,0,0,0,0
"ENSG00000245482.2",0,0,0,0,0,2
"ENSG00000245498.7",23,12,27,8,5,20
"ENSG00000245522.2",15,10,5,23,18,14
"ENSG00000245526.12",0,1,1,0,4,0
"ENSG00000245532.10",15271,14102,17321,7726,17569,13318
"ENSG00000245534.7",3,7,11,2,1,7
"ENSG00000245552.8",24,24,28,20,47,49
"ENSG00000245556.4",88,81,76,88,121,86
"ENSG00000245571.7",50,44,55,58,66,47
"ENSG00000245573.9",13,21,18,37,49,36
"ENSG00000245598.7",0,1,3,5,13,2
"ENSG00000245614.5",10,11,3,24,9,8
"ENSG00000245648.2",22,26,32,37,64,107
"ENSG00000245651.3",0,0,0,0,1,0
"ENSG00000245662.4",2,2,1,0,3,2
"ENSG00000245667.2",0,0,0,0,0,2
"ENSG00000245680.11",3,26,31,40,44,149
"ENSG00000245685.8",2,2,4,1,7,12
"ENSG00000245688.1",0,0,0,0,0,0
"ENSG00000245694.11",464,665,673,194,441,735
"ENSG00000245711.2",2,0,0,0,1,2
"ENSG00000245719.1",20,7,23,13,9,5
"ENSG00000245729.2",0,0,0,0,0,0
"ENSG00000245748.1",1,0,0,0,10,2
"ENSG00000245750.10",5,7,5,3,13,12
"ENSG00000245768.7",1,0,0,0,0,1
"ENSG00000245812.4",3,0,2,2,11,10
"ENSG00000245832.7",0,0,0,0,0,0
"ENSG00000245848.3",524,625,566,274,367,210
"ENSG00000245849.8",166,113,138,121,127,126
"ENSG00000245857.3",0,0,0,0,0,0
"ENSG00000245864.4",0,0,0,0,0,1
"ENSG00000245869.2",0,0,0,0,0,2
"ENSG00000245870.5",0,0,0,0,0,0
"ENSG00000245888.7",1,3,4,2,3,16
"ENSG00000245904.5",4,2,2,1,3,2
"ENSG00000245910.9",8593,11140,13808,10969,10983,10603
"ENSG00000245928.2",1,0,1,0,1,0
"ENSG00000245937.9",355,293,391,544,598,610
"ENSG00000245954.9",0,0,0,0,0,0
"ENSG00000245958.7",189,135,136,142,196,153
"ENSG00000245970.2",67,145,72,13,259,245
"ENSG00000245975.2",11,16,10,8,9,25
"ENSG00000246016.2",0,2,0,0,3,4
"ENSG00000246022.4",11,8,7,5,4,8
"ENSG00000246067.9",126,208,198,158,286,328
"ENSG00000246082.3",41,26,32,73,61,80
"ENSG00000246084.6",0,0,0,0,0,0
"ENSG00000246089.4",43,37,30,62,32,34
"ENSG00000246090.8",12,10,4,9,16,25
"ENSG00000246095.2",0,0,0,0,0,5
"ENSG00000246100.5",0,1,0,0,0,0
"ENSG00000246115.3",0,0,0,0,0,0
"ENSG00000246130.1",2,4,0,0,1,4
"ENSG00000246145.1",6,11,4,2,6,13
"ENSG00000246174.9",26,26,44,36,67,37
"ENSG00000246203.2",35,7,10,29,28,6
"ENSG00000246211.2",1,0,0,0,1,0
"ENSG00000246214.2",0,0,0,0,2,1
"ENSG00000246223.10",2,1,2,1,4,4
"ENSG00000246225.7",4,4,0,1,0,0
"ENSG00000246228.7",21,35,34,22,26,36
"ENSG00000246250.3",0,10,9,6,23,15
"ENSG00000246263.4",155,511,398,75,526,747
"ENSG00000246273.8",348,332,292,116,197,355
"ENSG00000246283.2",7,1,7,0,0,0
"ENSG00000246308.3",4,8,5,0,4,3
"ENSG00000246316.8",0,0,0,0,0,0
"ENSG00000246323.2",1,0,0,0,0,0
"ENSG00000246331.2",0,0,0,1,1,0
"ENSG00000246334.3",6,10,11,5,11,18
"ENSG00000246339.6",0,0,3,1,9,12
"ENSG00000246350.1",2,0,1,2,4,1
"ENSG00000246363.4",0,0,0,1,0,0
"ENSG00000246366.6",4,8,6,3,15,15
"ENSG00000246375.4",1,0,2,0,0,0
"ENSG00000246379.8",1,1,0,0,5,0
"ENSG00000246394.7",1,0,2,0,0,3
"ENSG00000246422.2",3,0,1,0,0,0
"ENSG00000246430.8",0,0,0,0,0,0
"ENSG00000246451.2",7,4,0,0,16,15
"ENSG00000246465.1",1,0,1,0,0,4
"ENSG00000246477.3",0,1,0,1,1,0
"ENSG00000246523.9",2,5,14,8,0,7
"ENSG00000246526.3",16,8,8,8,4,4
"ENSG00000246528.4",1,3,3,1,5,5
"ENSG00000246541.2",0,0,0,0,0,0
"ENSG00000246548.3",3,0,0,0,1,2
"ENSG00000246560.3",6,13,10,28,16,22
"ENSG00000246575.2",2,1,0,2,2,1
"ENSG00000246582.3",109,154,148,164,188,219
"ENSG00000246596.7",3,5,2,3,7,8
"ENSG00000246627.6",0,0,0,0,0,0
"ENSG00000246640.2",9,5,15,11,9,9
"ENSG00000246662.6",0,0,0,0,0,0
"ENSG00000246695.9",27,14,39,8,23,14
"ENSG00000246705.5",2799,2534,2662,3634,2493,3452
"ENSG00000246731.3",0,0,0,0,0,2
"ENSG00000246740.2",0,0,0,0,0,1
"ENSG00000246763.7",5,13,10,2,7,5
"ENSG00000246774.1",0,0,0,0,0,1
"ENSG00000246777.1",12,4,6,4,6,18
"ENSG00000246790.2",1,1,1,2,5,1
"ENSG00000246792.3",2,0,6,3,3,3
"ENSG00000246820.2",0,0,0,0,0,0
"ENSG00000246851.1",1,0,0,0,5,0
"ENSG00000246859.3",0,5,3,1,9,5
"ENSG00000246863.2",0,0,0,0,0,0
"ENSG00000246876.7",1,1,0,2,2,0
"ENSG00000246877.2",8,4,1,2,1,4
"ENSG00000246889.3",0,9,2,1,21,4
"ENSG00000246898.2",1,0,6,0,3,2
"ENSG00000246922.10",47,50,38,15,62,35
"ENSG00000246982.7",10,20,24,3,6,10
"ENSG00000246985.8",1,5,11,1,6,1
"ENSG00000247011.2",7,0,3,7,3,11
"ENSG00000247033.1",1,0,0,3,0,2
"ENSG00000247049.2",1,0,0,0,0,0
"ENSG00000247077.7",919,1091,882,1694,1774,902
"ENSG00000247081.8",64,52,45,90,96,66
"ENSG00000247092.8",158,136,148,62,215,155
"ENSG00000247095.4",1372,1081,944,535,539,1013
"ENSG00000247121.7",2,4,1,7,9,10
"ENSG00000247130.2",0,0,0,0,0,3
"ENSG00000247131.6",0,0,1,0,0,0
"ENSG00000247134.8",1,3,1,17,33,81
"ENSG00000247137.9",21,28,27,32,49,40
"ENSG00000247151.7",0,1,5,3,5,6
"ENSG00000247157.7",1,3,4,8,21,14
"ENSG00000247193.4",0,0,0,0,0,0
"ENSG00000247199.6",213,171,253,146,379,307
"ENSG00000247213.7",0,0,0,0,0,0
"ENSG00000247228.3",0,0,0,1,0,0
"ENSG00000247240.9",142,69,58,67,182,144
"ENSG00000247271.8",54,63,46,96,65,81
"ENSG00000247287.3",10,1,12,2,8,23
"ENSG00000247311.3",1,2,0,2,2,0
"ENSG00000247315.4",318,431,474,502,464,520
"ENSG00000247317.4",25,48,52,70,55,40
"ENSG00000247324.2",2,3,0,0,5,3
"ENSG00000247345.2",0,0,0,0,0,0
"ENSG00000247363.3",3,5,1,0,2,1
"ENSG00000247372.2",0,0,0,0,0,0
"ENSG00000247373.3",26,33,17,21,38,38
"ENSG00000247381.3",2,6,1,1,2,2
"ENSG00000247400.5",45,48,82,21,68,134
"ENSG00000247402.2",0,0,0,0,1,0
"ENSG00000247416.5",0,0,1,0,1,0
"ENSG00000247473.2",0,0,0,0,0,1
"ENSG00000247498.11",48,63,94,109,78,86
"ENSG00000247516.8",300,202,258,141,204,287
"ENSG00000247556.6",1390,1897,1745,1606,1818,1745
"ENSG00000247570.2",0,0,0,0,0,0
"ENSG00000247572.9",60,67,83,55,48,79
"ENSG00000247595.5",0,3,4,3,6,3
"ENSG00000247596.10",1270,1445,1274,4067,3225,2170
"ENSG00000247624.6",0,0,0,1,1,0
"ENSG00000247626.5",100,118,146,255,293,96
"ENSG00000247627.2",413,436,796,302,843,678
"ENSG00000247675.8",4,8,1,3,12,11
"ENSG00000247679.3",12,27,9,11,25,27
"ENSG00000247699.2",0,1,0,0,0,0
"ENSG00000247708.8",46,46,74,54,86,72
"ENSG00000247728.2",20,12,1,10,9,17
"ENSG00000247735.2",1,3,1,2,4,3
"ENSG00000247746.5",0,0,0,0,2,16
"ENSG00000247763.2",3,0,1,4,5,7
"ENSG00000247765.2",2,0,4,0,0,3
"ENSG00000247774.8",1,2,0,0,2,1
"ENSG00000247775.2",0,0,4,0,1,1
"ENSG00000247796.3",29,50,46,59,58,46
"ENSG00000247809.10",4,1,3,0,0,3
"ENSG00000247810.8",0,0,0,0,0,0
"ENSG00000247828.9",225,205,235,164,301,360
"ENSG00000247853.2",1,5,3,11,17,13
"ENSG00000247867.2",0,0,0,0,0,0
"ENSG00000247872.2",0,0,0,0,0,0
"ENSG00000247877.7",6,3,12,3,3,8
"ENSG00000247903.1",7,12,10,1,22,15
"ENSG00000247911.3",0,0,0,0,0,0
"ENSG00000247925.2",0,0,0,0,0,0
"ENSG00000247934.4",10,0,3,16,4,20
"ENSG00000247950.8",16,10,10,5,23,11
"ENSG00000247970.3",0,0,0,0,0,0
"ENSG00000247982.7",12,7,8,2,12,26
"ENSG00000247993.2",2,0,4,8,6,0
"ENSG00000248008.4",93,128,88,200,141,123
"ENSG00000248015.7",0,0,0,0,2,0
"ENSG00000248019.3",49,54,75,24,57,80
"ENSG00000248027.1",0,1,8,2,2,2
"ENSG00000248029.2",0,0,0,0,2,2
"ENSG00000248049.8",85,71,64,150,86,117
"ENSG00000248050.1",0,0,1,0,2,4
"ENSG00000248079.3",1,2,2,4,0,3
"ENSG00000248092.8",475,716,705,373,567,877
"ENSG00000248098.12",634,680,459,1113,692,397
"ENSG00000248099.4",1,2,0,2,4,2
"ENSG00000248100.2",0,0,0,1,4,0
"ENSG00000248101.2",78,46,34,19,84,66
"ENSG00000248103.1",3,2,1,5,4,0
"ENSG00000248104.1",0,0,0,0,0,0
"ENSG00000248105.1",0,0,0,0,0,0
"ENSG00000248106.2",0,0,0,0,0,1
"ENSG00000248107.2",0,0,0,0,0,0
"ENSG00000248109.3",0,0,0,0,0,0
"ENSG00000248112.1",1,0,1,0,0,0
"ENSG00000248113.2",0,0,0,0,0,0
"ENSG00000248114.1",0,0,0,0,0,2
"ENSG00000248115.1",0,0,0,0,1,0
"ENSG00000248117.1",1,0,0,0,0,0
"ENSG00000248118.2",0,0,0,0,0,0
"ENSG00000248120.1",0,0,0,0,0,0
"ENSG00000248121.8",0,1,0,1,1,0
"ENSG00000248122.1",0,0,0,0,0,0
"ENSG00000248124.9",59,70,59,34,131,130
"ENSG00000248125.2",0,0,0,0,0,0
"ENSG00000248126.1",0,0,0,0,0,0
"ENSG00000248127.1",0,0,0,0,0,0
"ENSG00000248128.1",0,0,0,0,0,0
"ENSG00000248131.6",0,0,0,0,0,2
"ENSG00000248132.3",0,0,0,0,0,0
"ENSG00000248133.1",0,0,0,0,0,0
"ENSG00000248134.1",0,0,0,0,0,0
"ENSG00000248136.1",0,0,0,0,0,0
"ENSG00000248137.1",0,0,0,0,0,0
"ENSG00000248138.5",0,0,0,0,0,0
"ENSG00000248139.2",0,0,0,0,0,0
"ENSG00000248143.1",0,0,0,0,0,0
"ENSG00000248144.6",82,9,24,36,119,40
"ENSG00000248145.2",0,0,0,0,0,0
"ENSG00000248148.1",0,1,0,0,0,0
"ENSG00000248150.1",0,1,1,0,0,0
"ENSG00000248152.2",1,0,0,0,0,0
"ENSG00000248155.1",0,0,0,0,0,0
"ENSG00000248156.2",0,0,0,0,0,0
"ENSG00000248159.1",0,0,0,0,0,0
"ENSG00000248160.1",0,0,0,0,0,0
"ENSG00000248161.5",1,2,1,5,4,5
"ENSG00000248162.1",0,0,0,0,0,0
"ENSG00000248165.1",0,0,0,0,0,0
"ENSG00000248167.7",0,0,0,2,0,0
"ENSG00000248170.1",0,0,0,0,0,0
"ENSG00000248172.1",0,0,0,0,0,0
"ENSG00000248174.7",3,6,5,2,12,9
"ENSG00000248176.2",0,0,0,0,1,0
"ENSG00000248180.1",21,12,24,23,26,15
"ENSG00000248184.1",0,0,0,0,0,0
"ENSG00000248185.1",0,0,0,0,0,0
"ENSG00000248187.1",0,0,0,0,0,0
"ENSG00000248188.2",0,0,0,0,0,0
"ENSG00000248191.1",0,0,0,0,0,0
"ENSG00000248192.1",0,0,0,0,0,0
"ENSG00000248195.1",0,0,0,0,0,0
"ENSG00000248196.1",0,0,0,0,0,0
"ENSG00000248197.1",0,0,0,0,0,0
"ENSG00000248199.2",0,0,0,0,0,0
"ENSG00000248200.2",0,0,0,0,2,0
"ENSG00000248202.2",0,2,4,0,1,1
"ENSG00000248203.1",0,0,0,0,0,0
"ENSG00000248205.1",0,0,0,0,0,0
"ENSG00000248206.2",0,1,0,0,0,1
"ENSG00000248208.1",0,1,0,1,0,2
"ENSG00000248209.1",0,0,0,0,0,0
"ENSG00000248210.2",0,0,0,0,0,0
"ENSG00000248211.1",0,0,0,0,2,0
"ENSG00000248213.3",1,0,2,0,0,1
"ENSG00000248215.6",0,0,0,3,0,3
"ENSG00000248216.1",1,0,0,0,2,0
"ENSG00000248221.1",0,0,0,0,0,0
"ENSG00000248222.5",0,0,0,0,0,0
"ENSG00000248223.1",0,0,0,1,2,0
"ENSG00000248227.1",0,0,0,0,0,0
"ENSG00000248228.2",0,0,0,0,0,0
"ENSG00000248229.1",0,0,0,0,0,0
"ENSG00000248231.1",0,0,0,0,0,0
"ENSG00000248234.1",0,0,0,0,0,0
"ENSG00000248235.6",0,0,0,2,0,0
"ENSG00000248236.1",0,0,0,0,0,0
"ENSG00000248237.2",0,0,0,0,0,0
"ENSG00000248238.2",0,0,0,0,0,0
"ENSG00000248240.1",0,0,0,1,0,1
"ENSG00000248242.1",0,0,0,0,1,0
"ENSG00000248243.1",4,0,0,3,1,1
"ENSG00000248245.1",0,0,0,0,0,0
"ENSG00000248249.1",0,0,0,0,0,0
"ENSG00000248254.1",0,0,0,0,0,0
"ENSG00000248256.1",0,0,1,0,0,0
"ENSG00000248257.7",0,0,0,0,0,0
"ENSG00000248259.1",0,0,0,0,0,0
"ENSG00000248261.2",0,0,0,0,0,0
"ENSG00000248262.1",0,0,0,0,0,0
"ENSG00000248265.2",4,3,5,7,10,9
"ENSG00000248266.1",0,0,0,0,0,0
"ENSG00000248268.1",0,0,1,0,2,2
"ENSG00000248271.1",0,0,0,0,0,0
"ENSG00000248275.3",115,62,80,74,83,69
"ENSG00000248278.1",3,4,1,0,1,0
"ENSG00000248279.5",0,0,0,0,0,1
"ENSG00000248281.1",0,0,0,0,0,0
"ENSG00000248282.1",0,0,0,0,0,0
"ENSG00000248283.2",0,0,0,1,1,0
"ENSG00000248285.1",0,0,0,0,0,0
"ENSG00000248286.1",0,0,0,0,0,0
"ENSG00000248287.1",0,0,0,0,0,0
"ENSG00000248288.1",1,0,0,0,0,0
"ENSG00000248290.1",0,0,0,0,0,0
"ENSG00000248293.1",0,0,0,0,0,0
"ENSG00000248295.2",0,0,0,0,0,0
"ENSG00000248296.1",0,0,0,0,0,0
"ENSG00000248300.1",0,0,0,0,0,2
"ENSG00000248302.3",0,0,0,0,0,0
"ENSG00000248305.1",0,0,0,0,0,0
"ENSG00000248307.6",0,1,0,0,0,2
"ENSG00000248308.1",0,0,0,0,0,0
"ENSG00000248309.8",0,2,0,0,0,2
"ENSG00000248311.1",0,0,0,0,0,0
"ENSG00000248313.1",0,0,0,0,0,0
"ENSG00000248315.1",0,0,0,0,0,0
"ENSG00000248317.2",0,0,0,0,0,0
"ENSG00000248318.1",0,0,0,0,0,1
"ENSG00000248319.3",1,0,2,2,1,4
"ENSG00000248320.1",0,0,0,0,0,0
"ENSG00000248322.1",0,0,0,0,0,0
"ENSG00000248323.8",8,22,21,65,30,77
"ENSG00000248327.1",0,0,0,0,0,0
"ENSG00000248328.1",0,0,0,0,0,0
"ENSG00000248329.6",0,0,0,0,0,0
"ENSG00000248330.5",0,0,0,0,0,0
"ENSG00000248332.6",0,0,0,0,0,0
"ENSG00000248333.9",879,812,883,1776,1286,1007
"ENSG00000248334.6",10,6,9,3,8,6
"ENSG00000248335.1",0,0,0,0,0,0
"ENSG00000248336.1",0,0,0,0,0,0
"ENSG00000248337.1",1,0,0,0,0,0
"ENSG00000248338.2",0,0,0,0,0,0
"ENSG00000248339.1",0,0,0,0,0,0
"ENSG00000248340.2",0,0,0,0,0,0
"ENSG00000248343.1",0,0,0,0,0,0
"ENSG00000248346.1",0,0,0,0,0,0
"ENSG00000248347.3",0,0,0,0,0,8
"ENSG00000248349.1",0,0,0,0,0,0
"ENSG00000248350.1",0,0,0,0,0,0
"ENSG00000248351.1",0,0,0,0,0,0
"ENSG00000248355.1",0,0,0,0,0,0
"ENSG00000248356.1",0,0,0,0,0,0
"ENSG00000248358.2",0,0,0,0,0,0
"ENSG00000248359.2",0,0,0,0,0,0
"ENSG00000248360.7",101,86,120,70,229,191
"ENSG00000248362.1",0,0,0,0,0,0
"ENSG00000248363.5",0,0,0,0,0,0
"ENSG00000248364.1",0,0,0,0,0,0
"ENSG00000248365.3",0,0,0,0,0,0
"ENSG00000248366.1",0,0,0,0,0,0
"ENSG00000248367.2",6,17,9,1,8,9
"ENSG00000248369.1",0,0,0,0,0,0
"ENSG00000248370.2",0,2,0,4,55,45
"ENSG00000248371.5",0,0,0,0,0,1
"ENSG00000248373.6",0,0,0,0,0,0
"ENSG00000248374.1",0,0,0,0,0,0
"ENSG00000248375.1",0,0,0,0,0,0
"ENSG00000248376.2",0,0,0,0,0,0
"ENSG00000248377.1",0,0,0,0,0,0
"ENSG00000248378.1",0,0,0,0,0,0
"ENSG00000248383.5",8,3,0,0,0,12
"ENSG00000248385.8",0,0,0,0,0,1
"ENSG00000248387.1",0,0,0,0,0,0
"ENSG00000248388.5",0,0,0,0,0,0
"ENSG00000248391.6",0,0,0,0,0,0
"ENSG00000248393.1",0,0,0,0,0,0
"ENSG00000248394.1",1,0,0,0,0,4
"ENSG00000248396.1",0,0,0,0,0,0
"ENSG00000248397.1",0,0,0,0,0,0
"ENSG00000248399.1",0,0,0,0,0,0
"ENSG00000248400.2",0,0,0,0,3,0
"ENSG00000248401.2",0,2,0,0,4,2
"ENSG00000248403.1",0,0,0,0,0,0
"ENSG00000248405.10",4,7,4,20,34,19
"ENSG00000248406.1",4,0,0,0,0,0
"ENSG00000248408.1",9,3,3,5,11,2
